id,name,city,category,context
arrakis_carthag,"Carthage (Arrakis)","Carthage, Arrakis",Dune Universe,"The capital city of the desert planet Arrakis (Dune). Hot, arid, spice-filled air, brutalist architecture, twin moons, sandy streets."
caladan_castle,"Castle Caladan","Cala City",Dune Universe,"The ancestral home of House Atreides on the water planet Caladan. Stormy seas, lush green cliffs, ancient stone castle, rain, fog."
giedi_prime,"Barony (Giedi Prime)",Barony,Dune Universe,"The industrial capital of Giedi Prime (House Harkonnen). Dark, polluted, oppressive, black sun, obsidian architecture, green smog."
kaitain_corinth,"Cinth (Kaitain)",Cinth,Dune Universe,"The golden capital of the Padishah Emperor on Kaitain. Opulent, lavish gardens, crystal spires, clear blue skies, futuristic luxury."
gondor_minas_tirith,"Minas Tirith (Gondor)","Minas Tirith",Middle-earth,"The White City of Gondor in Middle-earth. Seven tiered levels carved from white stone, backed by Mount Mindolluin, beacon tower, medieval fantasy."
rohan_edoras,"Edoras (Rohan)",Edoras,Middle-earth,"The capital of Rohan. A golden hall (Meduseld) atop a grassy hill, wooden structures, windy plains, mountains in the distance."
rivendell,"Rivendell (Elven)",Rivendell,Middle-earth,"The Last Homely House east of the Sea. Elven architecture blending with nature, waterfalls, autumn leaves, magical valley, misty."
mordor_barad_dur,"Barad-dûr (Mordor)",Barad-dûr,Middle-earth,"The Dark Tower of Sauron in Mordor. Volcanic landscape, lava flows, dark ominous clouds, the Eye of Sauron watching, jagged spires."
shire_hobbiton,"Hobbiton (The Shire)",Hobbiton,Middle-earth,"The Shire in Middle-earth. Green rolling hills, round hobbit holes with colorful doors, peaceful farming village, sunny, cozy."
lorien_caras_galadhon,"Caras Galadhon (Lothlórien)","Caras Galadhon",Middle-earth,"The city of the Galadhrim elves. Giant mallorn trees, flets (platforms) high in the branches, silver and gold lights, ethereal forest."
kings_landing,"King's Landing (Westeros)","King's Landing",Game of Thrones,"The capital of the Seven Kingdoms. Red Keep on the hill, dense medieval city, terracotta roofs, Blackwater Bay, sunny Mediterranean vibe."
winterfell,"Winterfell (The North)",Winterfell,Game of Thrones,"The seat of House Stark. Ancient grey granite castle, hot springs steam, godswood with red leaves, cold snowy weather, wolf statues."
pyke,"Pyke (Iron Islands)",Pyke,Game of Thrones,"The castle of House Greyjoy. Dark stone towers on jagged sea stacks connected by rope bridges, stormy grey ocean, crashing waves, bleak and powerful."
eyrie,"The Eyrie (The Vale)","The Eyrie",Game of Thrones,"The seat of House Arryn high in the mountains. White stone castle perched on a peak, clouds below, Moon Door, vertigo-inducing heights, cold thin air."
braavos,"Braavos (Essos)",Braavos,Game of Thrones,"The Free City of Braavos. Canals, the Titan of Braavos statue guarding the harbor, fog, stone houses, Venetian style, mysterious assassins."
coruscant,"Coruscant (Galactic City)","Coruscant",Star Wars,"The entire planet is one city. Endless skyscrapers, flying car traffic lanes in the sky, neon lights, futuristic, industrial haze."
tatooine_mos_eisley,"Mos Eisley (Tatooine)","Mos Eisley",Star Wars,"A wretched hive of scum and villainy. Desert spaceport, twin suns, dome buildings, sandy streets, landspeeders, alien vibe."
naboo_theed,"Theed (Naboo)","Theed",Star Wars,"The capital of Naboo. Classical architecture with domes, waterfalls, lush green parks, peaceful, elegant, by the river."
hoth_echo_base,"Echo Base (Hoth)","Echo Base",Star Wars,"Rebel base on the ice planet Hoth. Snowy trenches, icy plains, AT-AT walkers on the horizon, cold, blue and white aesthetic."
bespin_cloud_city,"Cloud City (Bespin)","Cloud City",Star Wars,"A city floating in the clouds. Orange sunset sky, art deco futuristic towers, mining platforms, tibanna gas fumes, dreamy."
sphinx_giza,"Great Sphinx (Giza)","Giza",Landmarks,"The Great Sphinx of Giza with the Pyramids in the background. Desert sand, ancient stone, blue sky, camels, historical majesty."
