id,name,city,context
arrakis_carthag,"Carthage (Arrakis)","Carthage, Arrakis","The capital city of the desert planet Arrakis (Dune). Hot, arid, spice-filled air, brutalist architecture, twin moons, sandy streets."
caladan_castle,"Castle Caladan","Cala City","The ancestral home of House Atreides on the water planet Caladan. Stormy seas, lush green cliffs, ancient stone castle, rain, fog."
giedi_prime,"Barony (Giedi Prime)",Barony,"The industrial capital of Giedi Prime (House Harkonnen). Dark, polluted, oppressive, black sun, obsidian architecture, green smog."
kaitain_corinth,"Cinth (Kaitain)",Cinth,"The golden capital of the Padishah Emperor on Kaitain. Opulent, lavish gardens, crystal spires, clear blue skies, futuristic luxury."
gondor_minas_tirith,"Minas Tirith (Gondor)","Minas Tirith","The White City of Gondor in Middle-earth. Seven tiered levels carved from white stone, backed by Mount Mindolluin, beacon tower, medieval fantasy."
rohan_edoras,"Edoras (Rohan)",Edoras,"The capital of Rohan. A golden hall (Meduseld) atop a grassy hill, wooden structures, windy plains, mountains in the distance."
rivendell,"Rivendell (Elven)",Rivendell,"The Last Homely House east of the Sea. Elven architecture blending with nature, waterfalls, autumn leaves, magical valley, misty."
mordor_barad_dur,"Barad-dûr (Mordor)",Barad-dûr,"The Dark Tower of Sauron in Mordor. Volcanic landscape, lava flows, dark ominous clouds, the Eye of Sauron watching, jagged spires."
shire_hobbiton,"Hobbiton (The Shire)",Hobbiton,"The Shire in Middle-earth. Green rolling hills, round hobbit holes with colorful doors, peaceful farming village, sunny, cozy."
lorien_caras_galadhon,"Caras Galadhon (Lothlórien)","Caras Galadhon","The city of the Galadhrim elves. Giant mallorn trees, flets (platforms) high in the branches, silver and gold lights, ethereal forest."
kings_landing,"King's Landing (Westeros)","King's Landing","The capital of the Seven Kingdoms. Red Keep on the hill, dense medieval city, terracotta roofs, Blackwater Bay, sunny Mediterranean vibe."
winterfell,"Winterfell (The North)",Winterfell,"The seat of House Stark. Ancient grey granite castle, hot springs steam, godswood with red leaves, cold snowy weather, wolf statues."
pyke,"Pyke (Iron Islands)",Pyke,"The castle of House Greyjoy. Dark stone towers on jagged sea stacks connected by rope bridges, stormy grey ocean, crashing waves, bleak and powerful."
eyrie,"The Eyrie (The Vale)","The Eyrie","The seat of House Arryn high in the mountains. White stone castle perched on a peak, clouds below, Moon Door, vertigo-inducing heights, cold thin air."
braavos,"Braavos (Essos)",Braavos,"The Free City of Braavos. Canals, the Titan of Braavos statue guarding the harbor, fog, stone houses, Venetian style, mysterious assassins."
